file_name,gt_bboxes,type
rain_00934,"[[153 329  19  19]
 [110 354  14  15]
 [399 287  20  29]
 [267 309  19  21]
 [521 268  20  27]
 [674 290  25  33]
 [834 283  33  38]]",rain
rain_00935,"[[200 148  77 104]
 [300 177  57  83]
 [356 288  70  88]
 [467 347  77 101]
 [465 268  54  64]
 [517 173  62  76]
 [574 217  35  52]
 [613 242  42  53]
 [692 215  44  56]
 [742 280  63  87]
 [921 213  35  57]
 [656 429  59  80]]",rain
rain_00936,[[450 238  60  94]],rain
rain_00937,[[855 175  52  88]],rain
rain_00938,"[[444 287  25  22]
 [807 283  22  26]
 [936 303   9  19]
 [314 328  12  20]]",rain
rain_00939,"[[240 319  48  55]
 [145 336  48  56]]",rain
rain_00940,[[672 215  39  47]],rain
rain_00941,"[[361 154  40  59]
 [547 145  31  43]
 [601 182  29  34]
 [650 167  22  33]
 [676 176  23  33]
 [789 180  30  39]
 [721 200  30  37]
 [902 170  27  33]
 [411 119  16  23]
 [419 182  13  35]]",rain
rain_00942,"[[263  89  46  72]
 [195 118  40  62]
 [153   3  47  53]
 [457  66  54  64]
 [520 114  61  72]
 [725 122  56  74]
 [791  98  54  78]
 [683  98  46  64]
 [392 117  36  53]
 [427  95  31  53]
 [278 143  44  54]
 [791   3  37  63]
 [920 122  36  62]
 [642 127  31  49]]",rain
rain_00943,[[444 142  26  39]],rain
rain_00944,"[[609 175  55  81]
 [389 185  40  77]]",rain
rain_00945,[[220 175  68  74]],rain
rain_00946,[[363 306  90 108]],rain
rain_00947,[[505 200  60  72]],rain
rain_00948,"[[437 216  28  36]
 [ 88 128  19  24]]",rain
rain_00949,[[544 252  23  27]],rain
rain_00950,"[[341 275  17  18]
 [554 278  16  22]
 [485 312  18  15]
 [579 268  10  17]]",rain
rain_00951,"[[500 567  60  72]
 [337 572  49  60]]",rain
rain_00952,"[[634 143  49  65]
 [737 132  33  52]]",rain
rain_00953,"[[307 457  15  18]
 [615 462  10  19]
 [533 482  13  15]
 [392 468  12  14]
 [199 476  12  15]
 [436 486  11  13]
 [209 467  16  14]
 [341 474  12  16]
 [466 475  11  15]
 [501 491  15  19]]",rain
rain_00954,[[506 174  45  57]],rain
rain_00955,"[[161 255  42  44]
 [309 214  35  36]
 [435 188  42  48]
 [340 154  38  43]
 [500 135  37  45]
 [635  86  39  43]
 [758 152  37  42]]",rain
rain_00956,[[671 162  22  36]],rain
rain_00957,"[[432 313  13  23]
 [601 314  18  26]
 [708 337  16  27]]",rain
rain_00958,[[490 213  90 119]],rain
rain_00959,[[290 426  29  97]],rain
rain_00960,[[358 292  12  20]],rain
rain_00961,[[469 369  56  96]],rain
rain_00962,"[[494 334  36  46]
 [217 305  21  24]
 [158 309  24  21]
 [119 309  17  31]
 [737 262  22  30]]",rain
rain_00963,"[[390 140  74  75]
 [322  69  50  94]]",rain
rain_00964,"[[580 327  20  35]
 [791 348  22  33]
 [731 401  19  32]
 [545 163  21  26]
 [413 239  20  36]
 [185 190  17  30]
 [294 217  17  26]
 [245 227  16  32]
 [105 192  19  27]
 [ 63 140  20  26]
 [556 296  15  28]
 [740 347  16  26]
 [547 255  24  32]]",rain
rain_00965,"[[275 130  37  46]
 [532 166  40  47]
 [596 189  43  48]
 [781 141  27  53]
 [908 151  31  44]]",rain
rain_00966,"[[509 441  28  32]
 [174 455  21  24]
 [207 441  18  26]]",rain
rain_00967,[[357 236  80 157]],rain
rain_00968,[[433  94  90  92]],rain
rain_00969,"[[236  86  68  53]
 [575 105  49  67]]",rain
rain_00970,"[[ 24  32  36  48]
 [366  28  37  40]
 [407  69  27  33]
 [341  97  28  30]]",rain
rain_00971,"[[634 291  49  38]
 [454 298  26  27]
 [ 93 327  18  39]
 [815 194  22  28]
 [679 156  14  12]
 [310 305  33  44]
 [163 259  25  40]
 [156 168  13  15]
 [494 222  14  24]
 [595 165  10  14]]",rain
rain_00972,[[477  72  72  97]],rain
rain_00973,[[353 119  49  71]],rain
rain_00974,"[[486 209  21  24]
 [417 217  14  19]
 [518 248  19  23]
 [736 224  15  21]]",rain
rain_00975,"[[164 259  73  84]
 [378 198  69  70]
 [575 129  71 116]
 [327 198  47  82]
 [476 230  54  52]]",rain
rain_00976,"[[348 186  53  67]
 [583 113  49  65]
 [128 400  53  66]
 [216 464  42  41]
 [ 36 450  33  39]
 [ 58 424  31  40]
 [181 418  30  46]
 [  0 476  14  34]]",rain
rain_00977,"[[905  42  56  54]
 [541  53  65  63]
 [368 198  56  73]
 [272 217  50  68]
 [196 189  40  37]
 [ 76 123  29  40]
 [  5 201  44  74]
 [120 186  36  26]]",rain
rain_00978,"[[970 134  29  30]
 [914 104  16  21]
 [834 290 100  91]
 [572 291  85 110]
 [270  93  42  51]
 [222 110  29  44]
 [172 124  39  44]
 [173  54  28  37]
 [418  97  19  27]
 [ 47 103  14  16]
 [ 56  72  14  14]
 [  0  66  13  19]]",rain
rain_00979,"[[688 439  12  19]
 [593 431  16  22]]",rain
rain_00980,"[[449 281  40  47]
 [624 303  36  39]
 [703 236  27  26]
 [648 241  23  21]
 [819 265  19  37]
 [865 235  26  29]
 [286 243  28  31]]",rain
rain_00981,[[614 181  51  87]],rain
rain_00982,"[[510 255  37  50]
 [823 182  17  22]]",rain
rain_00983,"[[493 165  61  89]
 [ 29 426  48  62]
 [244 479  31  38]
 [291 430  29  39]
 [153 399  32  39]
 [162 378  30  32]
 [195 421  31  36]
 [611 399  22  43]
 [998  78  20  82]]",rain
rain_00984,"[[255 193  43  48]
 [463 178  40  36]
 [558 150  14  14]
 [375 127  13  14]
 [664 169  31  25]
 [807 179  22  24]
 [807 142  22  14]
 [742 137  16  11]
 [866 163  16  15]
 [902 140  12  13]
 [977 146  17  16]
 [412 132  14   9]]",rain
rain_00985,"[[  7 301  29  37]
 [204 295  17  22]
 [252 295  23  26]
 [276 302  13  20]
 [297 292  12  16]
 [295 334  15  13]
 [338 301  25  31]
 [395 280  12  10]
 [398 293  16  22]
 [432 325  16  21]
 [450 303  17  19]
 [536 181  34  48]
 [881 154  13  38]
 [759 150  12  32]
 [596 288  10  22]
 [414 298   9  17]]",rain
rain_00986,"[[331 139  51  70]
 [663 255  51  72]]",rain
rain_00987,"[[570 204  36  48]
 [239 289  17  18]]",rain
rain_00988,"[[569 292  19  27]
 [202 275  18  24]]",rain
rain_00989,"[[763 347  37  38]
 [665 349  33  38]
 [585 355  29  33]
 [517 358  25  30]]",rain
rain_00990,"[[437 211  68  94]
 [663 166  48  68]
 [707 595  66  85]]",rain
rain_00991,"[[725 332  48  64]
 [289 263  37  34]
 [590 240  17  41]
 [774 345  32  71]
 [341 245  23  43]
 [274 336  39  64]]",rain
rain_00992,"[[ 378  201   19   19]
 [ 473  195   26   32]
 [ 552  216   24   30]
 [ 597  217   19   20]
 [ 924  218   18   24]
 [1014  209    9   27]]",rain
rain_01201,"[[582 519  74  87]
 [223 544  35  43]
 [313 555  37  36]]",rain
rain_01202,"[[372 471  96  81]
 [560 398  48 150]]",rain
rain_01203,"[[306 338  18  20]
 [650 262  11  12]
 [133 290  20  20]
 [ 14 260  10  11]]",rain
rain_01204,[[482 228  33  40]],rain
rain_01205,"[[786 387  49  59]
 [501 457  46  58]
 [339 389  41  64]
 [307 420  21  24]]",rain
rain_01206,[[273 385 102  92]],rain
rain_01207,"[[342 213 121 152]
 [551 252 111 125]
 [454 438  64 138]]",rain
rain_01208,[[878 349  18  21]],rain
rain_01209,"[[476 453  30  40]
 [591 444  32  37]
 [ 36 404  23  32]]",rain
rain_01210,"[[542 337  12  15]
 [979 327  10  12]]",rain
rain_01211,[[538 544  55  34]],rain
rain_01212,"[[164 273 105 113]
 [996 236  26  28]]",rain
rain_01213,[[759 151  44  43]],rain
rain_01214,"[[884 105  37  50]
 [699  66  48  58]
 [555  15  36  43]
 [519  85  43  55]
 [248  53  45  56]
 [ 39  10  24  47]
 [618 159  34  48]
 [371 125  19  51]
 [930 167  15  29]]",rain
rain_01215,"[[298 333  46  64]
 [413 287  43  61]
 [547 247  34  97]]",rain
rain_01216,"[[872 239  24  27]
 [782 199  24  27]
 [378 227  26  32]]",rain
rain_01217,[[806 415  24  40]],rain
rain_01218,"[[120 280  26  36]
 [419 279  22  30]
 [302 295  21  23]
 [683 231  28  37]]",rain
rain_01219,"[[598 266  18  35]
 [ 71 286  11  14]]",rain
rain_01220,"[[836 376  38  56]
 [459 390  26  30]]",rain
rain_01221,"[[ 22 255  29  29]
 [469 318 102 133]]",rain
rain_01222,"[[241 185  58  63]
 [340 168  45  61]]",rain
rain_01223,"[[454 210  39  61]
 [413 225  31  61]]",rain
rain_01224,[[480 247  77 107]],rain
rain_01225,[[183 332  21  33]],rain
rain_01226,"[[305 182  21  21]
 [201  99  32  61]]",rain
rain_01227,"[[911 150  36  63]
 [470 198  86 108]
 [337 123  64  79]
 [171 284  20  44]
 [185 224  30  33]]",rain
rain_01228,"[[465 314  28  43]
 [507 316  26  41]
 [559 293  27  40]
 [643 311  22  35]
 [599 312  26  31]
 [708 297  22  29]
 [855 291  22  26]
 [950 294  15  22]
 [975 294  14  18]
 [911 294  16  18]]",rain
rain_01229,[[231 160  88 135]],rain
rain_01230,[[181 223  60  75]],rain
rain_01231,[[122 192  11  24]],rain
rain_01232,"[[118 287  20  26]
 [146 279  20  25]
 [165 233  18  15]]",rain
rain_01233,"[[796 185  34  48]
 [557 182  59  71]
 [407 187  50  78]
 [345 233  28  36]
 [889 237  11   9]]",rain
rain_01234,[[640 314  21  23]],rain
rain_01235,[[334  96  42  66]],rain
rain_01236,[[533 288  26  43]],rain
rain_01237,"[[ 57 522  26  43]
 [133 511  20  43]
 [218 523  29  38]
 [349 546  23  23]
 [509 513  34  42]
 [640 432  78 106]]",rain
rain_01238,"[[522 177  43  52]
 [758 176  38  48]]",rain
rain_01239,"[[898  63  26  32]
 [996  43  28  36]
 [848  66  23  32]
 [772 146  29  38]
 [601 113  34  45]
 [711  89  25  32]
 [526 113  34  35]
 [386 100  35  44]
 [197 117  36  42]
 [109 138  33  37]
 [  0 120  14  44]]",rain
rain_01240,"[[596 382  28  28]
 [629 380  23  28]]",rain
rain_01241,"[[732  39  36  35]
 [664 126  39  43]
 [605  98  40  47]
 [540 120  26  43]
 [312 115  39  46]
 [132 134  32  46]]",rain
rain_01242,"[[482 767  26  39]
 [544 731  44  42]]",rain
rain_01243,"[[429 414  93 126]
 [608 522  30  35]
 [823 259  53  89]]",rain
rain_01244,[[585 309  12  16]],rain
rain_01245,"[[593 281  34  42]
 [375 315  34  24]]",rain
rain_01246,[[223 150 154 246]],rain
rain_01247,[[331 236  65  89]],rain
rain_01248,"[[349 160  64  42]
 [760 331  28  42]]",rain
rain_01249,"[[450 572  72 105]
 [454 450  68  66]]",rain
rain_01250,"[[212 143  41  49]
 [419 149  41  48]
 [791 173  49  63]]",rain
rain_01251,"[[747 180  49  46]
 [714 190  14  25]
 [672 195  16  22]
 [619 201  22  28]
 [572 197  21  20]
 [517 190  20  27]
 [466 191  21  25]
 [425 193  18  20]
 [390 191  16  18]
 [363 193  18  20]
 [341 170  19  31]
 [253 162  49  64]]",rain
rain_01252,"[[664 252  53  66]
 [784 190  57  47]]",rain
rain_01253,"[[713 261  78 118]
 [159 250  67 137]
 [380 291  54  91]
 [334 305  40  86]
 [568 374  28  69]
 [686 396  42  50]
 [974 442  17  37]]",rain
rain_01254,[[288 238  38  36]],rain
rain_01255,"[[ 35 290  51  50]
 [244 274  16  18]
 [307 286  14  18]
 [331 272  13  15]
 [342 272  16  19]
 [373 282  20  22]
 [396 270  18  17]
 [424 272  13  13]
 [780 267  14  17]]",rain
rain_01256,"[[ 94 601  22  28]
 [650 574  19  25]
 [452 579  10  16]
 [273 587  14  17]
 [310 583  12  18]]",rain
rain_01257,[[652 123  78  81]],rain
rain_01258,[[771 136  60  68]],rain
rain_01259,"[[630 242  33  35]
 [330 217  16  18]
 [155 219   8  10]
 [208 218  14  10]
 [262 214  14   9]]",rain
rain_01260,"[[851 144  20  52]
 [620 151  26  44]
 [534 160  30  43]
 [388 184  32  38]
 [266 189  39  49]
 [576 433  42  44]]",rain
rain_01261,"[[416 328 101 116]
 [140 390  86 137]]",rain
rain_01262,"[[ 38 118  54  65]
 [270 131  34  67]
 [391 132  26  69]
 [591 205  24  34]
 [736 232  22  29]
 [616 199  13  43]
 [893 278  18  17]
 [867 277  18  18]
 [794 213  22  30]]",rain
rain_01263,"[[495 237  28  35]
 [572 261  26  36]
 [979 340  11   9]]",rain
rain_01264,"[[ 97 151  14  25]
 [125 164  14  20]
 [172 219  51  44]
 [308 203  36  42]
 [622  63  31  34]
 [844  67  32  36]
 [927  21  24  43]
 [984  75  30  37]]",rain
rain_01265,[[643 168  38  57]],rain
rain_01266,"[[336 126  29  41]
 [589 159  17  20]
 [363 153  21  21]]",rain
rain_01267,"[[151 118  47  49]
 [110 111  23  57]
 [ 21  88  29  72]
 [513 129  53  54]
 [642 145  42  56]
 [841 120  41  51]
 [901 130  39  49]
 [703 119  57  53]]",rain
rain_01268,[[552 152  54  68]],rain
rain_01269,"[[380 179  25  48]
 [310 161  21  24]
 [475 214  23  32]]",rain
rain_01270,"[[426 438  64  53]
 [411 505  58  57]
 [600 401  78  51]
 [322 280  82  69]]",rain
rain_01271,[[841 469  35  41]],rain
rain_01272,"[[275 277  73 119]
 [806 297  90 113]]",rain
rain_01273,"[[289 250  11  20]
 [429 179  33  47]
 [505 218  32  48]
 [569 205  36  45]
 [677 220  39  46]
 [763 234  40  42]]",rain
rain_01274,"[[304 163  26  41]
 [ 59 151  11  45]
 [797 103  28  51]
 [859 160  24  34]
 [968 159  18  24]]",rain
rain_01275,"[[372 246  23  33]
 [522 261  24  29]
 [802 216  46  57]
 [420 276  18  17]
 [253 279  10  12]
 [308 287  13  18]]",rain
rain_01276,"[[723 168  57  94]
 [679  87  74  92]
 [459 201  69  93]
 [234 170  59  87]]",rain
rain_01277,"[[831  32  78 101]
 [571 235  24  40]
 [623 326  51  67]
 [693 212  27  39]]",rain
rain_01278,[[405 162  25  57]],rain
rain_01279,[[330 112 108 143]],rain
rain_01280,[[326 256  11  19]],rain
rain_01281,[[618 419 116 164]],rain
rain_01282,"[[137 257  42  46]
 [386 166  36  52]
 [486 184  36  50]
 [411 136  33  45]]",rain
rain_01283,"[[663 703  20  25]
 [676 724  17  28]
 [751 781  22  49]]",rain
rain_01284,[[553 169  40  42]],rain
rain_01285,[[568 237  69  86]],rain
rain_01286,"[[171 532  67 150]
 [401 189  66  91]
 [678 335  93 136]]",rain
rain_01287,"[[855 111  29  42]
 [805 136  33  30]]",rain
rain_01288,[[573 270  46  39]],rain
rain_01289,"[[581 237  43  49]
 [522 226  45  46]
 [421 218  15  16]]",rain
rain_01290,"[[130 175  50  69]
 [501 215  48  59]]",rain
rain_01291,[[459 198 107 137]],rain
rain_01292,"[[ 41 282  29  28]
 [194 260  13  16]
 [973 275  18  24]
 [611 264  14  18]]",rain
rain_01293,"[[636 215  76  89]
 [418 338  48  82]
 [191 299  67  87]
 [143 242  43  64]
 [  2 189  34  62]]",rain
rain_01294,"[[357 142  27  26]
 [399 127  20  26]
 [465 129  19  28]
 [508 128  23  32]
 [575 122  18  21]
 [618 114  24  28]
 [726 105  21  23]
 [776 114  25  32]]",rain
rain_01295,"[[637 117  39  38]
 [601 118  29  28]
 [463  93  14  12]]",rain
rain_01296,"[[447 863  52  70]
 [526 808  43  80]
 [713 986  38  60]
 [880 885  17  19]]",rain
rain_01297,"[[640 314  19  27]
 [310 349  18  38]
 [367 367  15  32]
 [624 343  14  25]]",rain
rain_01298,[[679 284  68  71]],rain
rain_01299,"[[601 347  38  37]
 [507 356  14  36]
 [461  44  14  27]
 [227 624  36  40]
 [289  29  11  21]]",rain
rain_01300,"[[742 213  65  90]
 [537 229  63  93]
 [208 180  63  89]]",rain
rain_01123,[[511  94 202 242]],rain
rain_01124,"[[419  85  75 112]
 [660 196  46  54]
 [924 184  48  82]]",rain
rain_01125,[[434 289 348 238]],rain
rain_01126,"[[565 478  69  85]
 [196 544  65  83]]",rain
rain_01127,"[[280 175  59  75]
 [709 150  54  76]
 [150 319  18  23]
 [197 313  11  14]
 [  0 326   8  20]]",rain
rain_01128,[[804 593  35  44]],rain
rain_01129,"[[395 552 151 240]
 [408 447 123  69]]",rain
rain_01130,"[[654 519  81  90]
 [258 371  51  44]
 [122 318  32  34]
 [315 299  35  34]
 [ 71 266  19  25]
 [216 268  23  21]
 [220 325  22  19]
 [387 320  32  22]
 [450 284  25  26]
 [555 442  47  45]
 [646 378  27  20]]",rain
rain_01131,"[[663 338  22  23]
 [318 354  22  26]]",rain
rain_01132,"[[455 414  20  27]
 [172 433  18  22]]",rain
rain_01133,"[[246 156  40 106]
 [343 177  50  64]
 [440 242  56  74]
 [543 260  43  43]
 [589 236  45  57]
 [733 182  56  69]
 [957 155  59  80]
 [934 163  34  65]]",rain
rain_01134,"[[133 401  53  57]
 [675 477  45  47]
 [851 136  54  46]
 [425 139  69  79]
 [157 139  37  38]]",rain
rain_01135,"[[741 162  97  91]
 [178 121  76  93]]",rain
rain_01136,"[[485 174  37  50]
 [557 236  28  39]
 [592 249  15  20]
 [620 242  20  23]
 [650 234  19  24]
 [680 219  21  31]
 [783 179  29  42]
 [906 126  51  56]
 [ 61 106  46  64]
 [204 183  28  42]
 [288 212  22  29]
 [320 226  18  28]
 [346 235  15  22]
 [371 248  13  22]
 [393 256   6  14]
 [401 263   8  15]]",rain
rain_01137,"[[437  73  10  19]
 [815 214  23  26]
 [866 192  23  27]
 [295 260  28  30]
 [434 297  26  31]
 [539 258  18  22]]",rain
rain_01138,"[[658 337  43  63]
 [598 358  34  42]
 [884 380  28  27]
 [607 206  24  23]
 [909 209  12  18]
 [385 260  14  18]
 [192 368  25  17]]",rain
rain_01139,"[[439 326  16  16]
 [493 329  12  14]
 [741 309  15  17]
 [306 416  81 103]
 [407 352  13  14]]",rain
rain_01140,[[203 368  32  39]],rain
rain_01142,"[[756 150  45  52]
 [923 215  30  37]
 [615 298  14  19]
 [310 269  25  29]
 [376 296  16  25]
 [849 205  17  39]]",rain
rain_01143,"[[302 218  22  32]
 [921 207  18  25]
 [129 231  21  24]
 [589  57  42  54]
 [542  64  47  49]]",rain
rain_01144,[[511 183 261 354]],rain
rain_01145,"[[481 283  17  18]
 [358 301  18  20]
 [223 356  30  30]]",rain
rain_01146,"[[201 280  38  34]
 [395 270  32  30]]",rain
rain_01147,"[[965 240  25  33]
 [352 265  24  30]]",rain
rain_01148,"[[190 264  69  93]
 [331 243  66 104]
 [602 273  72  88]
 [735 296  71  89]
 [647 211  62  67]
 [719   0  68  47]
 [836   0  77  76]]",rain
rain_01149,[[485 197  41  57]],rain
rain_01150,"[[556 162  18  22]
 [408 176  15  20]
 [474 197  14  14]
 [434 185  14  18]
 [515 194  14  16]
 [579 172  16  20]]",rain
rain_01151,"[[ 52 244 117 144]
 [233 271  62  62]
 [289 353  92 111]
 [564 278  72  84]
 [714 158 103 137]
 [912 241 101 137]
 [423 236  94 124]
 [647 203  54  85]]",rain
rain_01152,[[571 169 106 192]],rain
rain_01153,"[[ 79 423  20  22]
 [ 33 380  21  31]]",rain
rain_01154,[[397 401  29  40]],rain
rain_01155,"[[933 282  66  77]
 [452 301  63  81]]",rain
rain_01156,"[[611 360  16  20]
 [632 447  16  19]]",rain
rain_01157,"[[531 288  70 104]
 [873 325  67  75]
 [267 359  50  60]
 [  0 301  32  75]
 [104 440  22  60]
 [185 362  43  44]
 [797 333  39  50]]",rain
rain_01158,"[[181  44  57  53]
 [478 143  55  69]
 [369 114  18  26]
 [500  84  23  26]
 [649  57  40  39]
 [729  71  40  44]
 [867  93  44  53]
 [952  68  65  81]]",rain
rain_01159,"[[278 307  41  42]
 [220 293  30  33]
 [685 275  33  36]
 [755 248  32  43]
 [911 304  26  40]
 [819 311  22  32]
 [611 257  31  41]
 [375 286  29  31]
 [470 257  23  44]
 [324 312  18  41]]",rain
rain_01160,"[[817 203  30  31]
 [702 198  30  36]]",rain
rain_01161,[[430 358   9  23]],rain
rain_01162,"[[661 227  72 105]
 [330 258  72  95]
 [840 351  23  31]
 [595 321  20  16]
 [476 347  21  17]
 [545 342  16  22]
 [528 333  27  35]
 [795 337  14  20]]",rain
rain_01163,"[[ 38  89  20  20]
 [140  92  18  21]
 [259  93  23  25]
 [372  67  20  26]
 [416  98  19  23]
 [439  93  19  20]
 [484  59  21  26]
 [577 125  55  63]]",rain
rain_01164,[[243 145  29  32]],rain
rain_01165,"[[636 128  63  75]
 [685 114  40  81]
 [934 134  24  37]
 [858 153  24  35]
 [923 106  28  29]]",rain
rain_01166,"[[252 413  35  36]
 [662 324  19  17]
 [758 336  19  20]]",rain
rain_01167,[[475 344  25  30]],rain
rain_01168,[[441 253  31  40]],rain
rain_01169,[[381  82  61  81]],rain
rain_01170,"[[269 174  62  75]
 [719 137  68  86]
 [  4 249  57  65]
 [127 136  52  60]
 [951 184  31  56]
 [391 124  41  55]
 [550 183  29  55]
 [576 207  36  45]]",rain
rain_01171,[[745 181  71  67]],rain
rain_01172,"[[466 693  16  20]
 [557 678  25  37]
 [596 715  25  31]
 [708 799  22  25]]",rain
rain_01173,"[[779 105  47  48]
 [884 139  37  40]
 [552 113  46  49]
 [331 111  50  54]
 [700  78  22  21]
 [742  91  20  25]
 [225  81  31  35]]",rain
rain_01174,"[[384 315  21  27]
 [340 245  20  25]
 [481 324  15  26]]",rain
rain_01175,"[[315 231  42  53]
 [500 290  24  31]
 [600 289  22  24]
 [245 258  35  33]
 [800 264  24  37]
 [460 270  18  36]
 [687 274  19  27]
 [630 315  16  26]]",rain
rain_01176,"[[772 224  16  28]
 [520 208  49  67]
 [328 161  56  76]]",rain
rain_01177,"[[780 304  20  20]
 [828 309  21  27]
 [112 360  67 107]]",rain
rain_01178,[[204 137  40  47]],rain
rain_01179,[[706 274  96 190]],rain
rain_01180,"[[477 295  32  55]
 [319 286  18  64]
 [700 149  16  18]
 [629 158  22  19]
 [602 136  21  21]
 [656 149  17  20]
 [534 164  12   9]]",rain
rain_01181,"[[403 120  47  63]
 [523 177  50  58]
 [665 193  52  64]
 [833 193  50  66]]",rain
rain_01182,"[[119 359  43  53]
 [  1 243  23  56]
 [108 280  20  19]]",rain
rain_01183,"[[268 177  28  34]
 [467 262  26  27]
 [706 211  27  26]
 [150 235  24  30]
 [ 77 279  22  23]
 [683 239  22  39]
 [207 242  15  15]]",rain
rain_01184,"[[319 315 136 126]
 [824 100  54 161]]",rain
rain_01185,[[66 49 35 42]],rain
rain_01186,"[[330 290  26  36]
 [451 272  32  43]
 [623 264  30  50]
 [669 325  32  34]
 [637 375  26  28]
 [921 260  30  28]
 [929 218  14  19]
 [847 272  16  21]
 [ 55 369  17  22]
 [ 26 379  21  17]
 [545 305  29  33]]",rain
rain_01187,"[[594  48  36  57]
 [631  69  29  59]
 [715  85  38  56]
 [782 232  19  26]]",rain
rain_01188,"[[546  79  56  66]
 [791  50  68  78]
 [324 155  69  54]]",rain
